date,1. open,2. high,3. low,4. close,5. volume
2021-09-24 15:38:00,299.33,299.42,299.2834,299.39,43343.0
2021-09-24 15:37:00,299.386,299.43,299.31,299.33,26800.0
2021-09-24 15:36:00,299.28,299.44,299.27,299.4,33747.0
2021-09-24 15:35:00,299.36,299.36,299.27,299.275,36844.0
2021-09-24 15:34:00,299.318,299.39,299.3,299.3607,24997.0
2021-09-24 15:33:00,299.29,299.34,299.22,299.32,37369.0
2021-09-24 15:32:00,299.22,299.32,299.21,299.2963,32683.0
2021-09-24 15:31:00,299.075,299.21,299.07,299.21,31733.0
2021-09-24 15:30:00,299.07,299.1017,299.06,299.07,20101.0
2021-09-24 15:29:00,299.0799,299.124,299.0745,299.0836,21868.0
2021-09-24 15:28:00,299.0616,299.08,298.98,299.06,28999.0
2021-09-24 15:27:00,299.13,299.145,299.04,299.07,25514.0
2021-09-24 15:26:00,299.11,299.18,299.1,299.13,22244.0
2021-09-24 15:25:00,299.14,299.15,299.09,299.105,19203.0
2021-09-24 15:24:00,299.025,299.2,299.025,299.12,39065.0
2021-09-24 15:23:00,298.9,299.04,298.894,299.04,40966.0
2021-09-24 15:22:00,298.805,298.92,298.805,298.89,35515.0
2021-09-24 15:21:00,298.72,298.82,298.6702,298.81,26111.0
2021-09-24 15:20:00,298.79,298.795,298.714,298.73,12970.0
2021-09-24 15:19:00,298.8,298.84,298.71,298.78,38075.0
2021-09-24 15:18:00,298.7,298.81,298.7,298.8,23573.0
2021-09-24 15:17:00,298.7,298.7,298.65,298.69,24080.0
2021-09-24 15:16:00,298.59,298.7,298.59,298.68,20293.0
2021-09-24 15:15:00,298.5001,298.59,298.4901,298.59,18804.0
2021-09-24 15:14:00,298.44,298.49,298.44,298.48,10614.0
2021-09-24 15:13:00,298.4601,298.49,298.42,298.45,14115.0
2021-09-24 15:12:00,298.44,298.47,298.44,298.465,21235.0
2021-09-24 15:11:00,298.485,298.5,298.42,298.4599,18046.0
2021-09-24 15:10:00,298.47,298.51,298.44,298.5,10813.0
2021-09-24 15:09:00,298.48,298.495,298.45,298.48,27637.0
2021-09-24 15:08:00,298.47,298.51,298.47,298.485,9197.0
2021-09-24 15:07:00,298.51,298.5265,298.45,298.46,17068.0
2021-09-24 15:06:00,298.58,298.59,298.51,298.5101,27823.0
2021-09-24 15:05:00,298.56,298.59,298.53,298.59,13405.0
2021-09-24 15:04:00,298.57,298.59,298.53,298.55,11050.0
2021-09-24 15:03:00,298.6387,298.64,298.545,298.56,21096.0
2021-09-24 15:02:00,298.69,298.72,298.62,298.6367,25694.0
2021-09-24 15:01:00,298.78,298.81,298.69,298.69,29632.0
2021-09-24 15:00:00,298.75,298.82,298.75,298.78,25976.0
2021-09-24 14:59:00,298.67,298.77,298.66,298.76,32024.0
2021-09-24 14:58:00,298.6283,298.6601,298.6,298.65,26082.0
2021-09-24 14:57:00,298.53,298.65,298.52,298.63,22157.0
2021-09-24 14:56:00,298.61,298.61,298.55,298.55,20613.0
2021-09-24 14:55:00,298.51,298.6,298.48,298.59,23530.0
2021-09-24 14:54:00,298.55,298.57,298.51,298.52,19088.0
2021-09-24 14:53:00,298.52,298.56,298.52,298.54,8891.0
